id	type	x	y	z	theta	gyokaku
1	spot	0	73.5	37.38755	45.17841	121.1991
2	spot	0	73.5	24.96835	44.36437	177.7587
3	spot	0	73.5	51.6722	42.73632	198.4074
4	spot	0	73.5	101.1927	43.14334	192.123
5	spot	0	73.5	148.6419	39.46424	200.203
6	spot	0	73.5	201.9424	40.29425	183.1453
7	spot	-30	73.5	222.3814	21.57167	304.3444
9	spot	0	73.5	220.9745	26.86283	314.2199
10	spot	30	73.5	203.0949	10.17532	0
11	spot	30	73.5	175.5567	9.768305	0
12	spot	30	73.5	150.9864	10.58233	0
13	spot	30	73.5	120.9809	11.39635	0
14	spot	30	73.5	85.07191	9.768308	0
