ID	data	wallCenter	wallRight	wallUp	wallFront	x	y	z	size	frameTitle	parent	uniqueCode
1	./Images/rekishi/001.png	27.5,22.5,0.5	-1,0,0	0,1,0	0,0,-1	55.0519	4.185	0.2	2	Wooden_thin	-1:-1	0
2	./Images/greet.png	-39,22.5,80	0,0,1	0,1,0	-1,0,0	-56.84306	4.6575	0.2	3	Wooden_thin	-1:-1	1
3	./Images/rekishi/002f.jpg	-39,22.5,80	0,0,1	0,1,0	-1,0,0	-19.87862	4.4685	0.2	2	MetalGold	-1:-1	2
5	./Images/rekishi/003f.jpg	-39,22.5,80	0,0,1	0,1,0	-1,0,0	29.826	4.185	0.2	3	MetalGold	-1:-1	4
6	./Images/rekishi/004f.jpg	-39,37.5,120	0,0,1	0,1,0	-1,0,0	39.54446	-10.626	0.2	2	Metal	-1:-1	5
7	./Images/rekishi/005f.jpg	-39,37.5,120	0,0,1	0,1,0	-1,0,0	80.4892	-10.5945	0.2	1.6	MetalGold	-1:-1	6
9	./Images/rekishi/006f.jpg	39,37.5,120	0,0,-1	0,1,0	1,0,0	-90.44289	-10.5	0.2	1	Wooden_thin	-1:-1	8
10	./Images/rekishi/007f.jpg	39,37.5,120	0,0,-1	0,1,0	1,0,0	-62.41724	-10.5	0.2	1	Wooden_thin	-1:-1	9
11	./Images/rekishi/008f.jpg	39,37.5,120	0,0,-1	0,1,0	1,0,0	-34.67786	-10.5	0.2	1	Wooden_thin	-1:-1	10
12	./Images/rekishi/009f.jpg	39,37.5,120	0,0,-1	0,1,0	1,0,0	-3.991211	-10.5	0.2	1	Wooden_thin	-1:-1	11
13	./Images/rekishi/010f.jpg	39,37.5,120	0,0,-1	0,1,0	1,0,0	29.08858	-10.5	0.2	1	Wooden_thin	-1:-1	12
14	./Images/rekishi/011.jpg	0,37.5,237	1,0,0	0,1,0	0,0,1	-21.47073	-10.4685	0.2	1.5	Metal	-1:-1	13
15	./Images/rekishi/012.jpg	0,37.5,237	1,0,0	0,1,0	0,0,1	9.8846	-10.5	0.2	1.1	MetalGold	-1:-1	14
17	./Images/rekishi/002.png	-39,37.5,120	0,0,1	0,1,0	-1,0,0	-40.39485	-10.5	0.2	1	none(caption)	-1:-1	16
18	./Images/rekishi/003.png	-39,37.5,120	0,0,1	0,1,0	-1,0,0	15.07796	-10.5	0.2	1	none(caption)	-1:-1	17
19	./Images/rekishi/004.png	-39,37.5,120	0,0,1	0,1,0	-1,0,0	59.16017	-10.5	0.2	1	none(caption)	-1:-1	18
20	./Images/rekishi/005.png	-39,37.5,120	0,0,1	0,1,0	-1,0,0	98.38287	-10.5	0.2	1	none(caption)	-1:-1	19
22	./Images/rekishi/006.png	39,37.5,120	0,0,-1	0,1,0	1,0,0	-77.10213	-11.571	0.2	1	none(caption)	-1:-1	21
23	./Images/rekishi/007.png	39,37.5,120	0,0,-1	0,1,0	1,0,0	-50.06784	-10.5	0.2	1	none(caption)	-1:-1	22
24	./Images/rekishi/008.png	39,37.5,120	0,0,-1	0,1,0	1,0,0	-22.29907	-10.5	0.2	1	none(caption)	-1:-1	23
25	./Images/rekishi/009.png	39,37.5,120	0,0,-1	0,1,0	1,0,0	8.411105	-10.5	0.2	1	none(caption)	-1:-1	24
26	./Images/rekishi/010.png	39,37.5,120	0,0,-1	0,1,0	1,0,0	43.25702	-10.5	0.2	1	none(caption)	-1:-1	25
29	./Images/rekishi/011.png	0,37.5,237	1,0,0	0,1,0	0,0,1	-6.123293	-10.5	0.2	1	none(caption)	-1:-1	28
30	./Images/rekishi/012.png	0,37.5,237	1,0,0	0,1,0	0,0,1	23.3666	-10.5	0.2	1	none(caption)	-1:-1	29
