id	next	previous	captioning	pos	angle	audio	launchAngle
1	2	-1		-0.09709029,7.562399,4.301289	0,0,0.9999977		5.294986
2	3	1		-3.107147,7.009467,22.82503	-0.4973198,0,0.8675673		8.294986
3	4	2		-21.64094,8.167619,20.78541	-0.9994047,0,0.03450191		2.894984
4	5	3		-28.45255,10.99871,16.34916	-0.9994915,0,0.03188592		-8.355011
5	6	4		-27.11185,6.75,16.3099	-0.9995717,0,0.0292688		14.14498
6	7	5		-28.82901,10.95661,30.42602	-0.9999728,0,0		-8.055023
7	8	6		-29.48671,6.809114,30.4608	-0.9986044,0,0.0528127		10.24498
8	9	7		-20.80379,7.702633,31.52752	-0.4380164,0,-0.8989671		4.694976
9	10	8		-27.72892,10.51755,11.01338	0,0,-0.9999502		-5.655029
10	11	9		-24.40016,6.843077,10.99436	0,0,-0.9999654		9.794976
11	12	10		-30.41753,10.54987,9.713661	-0.02142036,0,-0.9997706		-5.805023
12	13	11		-30.38903,6.809114,11.04426	-0.0475831,0,-0.9988674		10.24498
13	14	12		0.6536028,7.738975,46.86939	-0.8258751,0,-0.563853		4.544979
14	15	13		-13.58845,7.813104,60.81632	-0.995517,0,0.09458214		4.244978
15	16	14		-24.87166,8.292126,60.08058	-0.9998839,0,-0.01523197		2.444977
16	17	15		-25.16559,8.292126,79.37645	-0.9998839,0,-0.01523197		2.444977
17	18	16		0.2366654,8.292126,115.7021	-0.9998839,0,-0.01523197		2.444977
18	19	17		-18.968,8.292126,109.4197	-0.9998839,0,-0.01523197		2.444977
19	20	18		-30.65518,8.292126,133.0629	-0.9998839,0,-0.01523197		2.444977
20	21	19		-12.49093,8.292126,163.9538	-0.9998839,0,-0.01523197		2.444977
21	22	20		-23.75162,8.292126,160.4547	-0.9998839,0,-0.01523197		2.444977
22	23	21		-29.35842,8.292126,179.0042	-0.9998839,0,-0.01523197		2.444977
23	24	22		-14.50078,8.292126,208.5137	-0.9998839,0,-0.01523197		2.444977
24	25	23		-23.71285,8.292126,201.046	-0.9998839,0,-0.01523197		2.444977
25	27	24		-33.31153,8.292126,218.8874	-0.9998839,0,-0.01523197		2.444977
27	28	25		-18.57141,7.889065,202.7485	-0.02046854,0,0.9997905		3.944976
28	29	27		-19.11889,8.208823,220.0491	-0.01261612,0,0.9999204		2.744975
29	30	28		-5.926378,8.208823,230.2075	-0.01261612,0,0.9999204		2.744975
30	31	29		16.90489,8.208823,215.839	-0.01261612,0,0.9999204		2.744975
31	32	30		12.13028,8.208823,225.0989	-0.01261612,0,0.9999204		2.744975
32	33	31		23.38701,8.208823,230.5701	-0.01261612,0,0.9999204		2.744975
33	34	32		23.41223,8.208823,228.5712	-0.01261612,0,0.9999204		2.744975
34	35	33		-2.997412,6.969821,192.531	0.9050286,0,0.4253507		8.594981
35	36	34		18.49354,8.766281,203.7949	0.9997905,0,0.02046692		0.7949817
36	37	35		28.61752,8.766281,197.3402	0.9997905,0,0.02046692		0.7949817
37	38	36		12.35187,8.766281,178.3504	0.9997905,0,0.02046692		0.7949817
38	39	37		24.3383,8.766281,178.5959	0.9997905,0,0.02046692		0.7949817
39	40	38		31.85639,8.766281,169.4239	0.9997905,0,0.02046692		0.7949817
40	41	39		16.26909,8.766281,149.7841	0.9997905,0,0.02046692		0.7949817
41	42	40		27.59161,8.766281,150.0159	0.9997905,0,0.02046692		0.7949817
42	43	41		32.40218,8.766281,142.7807	0.9997905,0,0.02046692		0.7949817
43	44	42		16.19788,8.766281,120.9003	0.9997905,0,0.02046692		0.7949817
44	45	43		28.17353,8.766281,121.1454	0.9997905,0,0.02046692		0.7949817
45	46	44		33.04865,8.766281,110.5957	0.9997905,0,0.02046692		0.7949817
46	47	45		14.24485,8.766281,86.2495	0.9997905,0,0.02046692		0.7949817
47	48	46		29.46535,8.766281,90.55461	0.9997905,0,0.02046692		0.7949817
48	49	47		31.74731,8.766281,76.62388	0.9997905,0,0.02046692		0.7949817
49	50	48		-7.242198,7.462997,93.20037	0.9169021,0,0.3991122		5.744982
50	-1	49		-13.19001,7.966735,34.81099	0.3734297,0,0.9276584		3.644983
